Project Name,Location,Square Feet,Flat Type,Property Type,Price,Possession Status,Amenities
Chanda Nagar,Chanda Nagar,1595,3 BHK,,₹ 95.7 L,Under Construction,"Safe & Secure Locality, Affordable"
Rajapushpa Infina,Manchirevula,3080,3 BHK,apartment,₹ 2.15 Cr,Under Construction,
Happy Homes Kondapur,Kondapur,2070,3 BHK,apartment,₹ 1.75 Cr,Ready To Move,"Prime Location, Safe & Secure Locality"
IRA Aspiration,Kollur,2195,3 BHK,,₹ 1.20 Cr,Under Construction,"Affordable, Family"
EIPL Apila,Gandipet,2135,3 BHK,apartment,₹ 2.55 Cr,Ready To Move,"Affordable, Family"
Rajapushpa Infina,Manchirevula,3705,3 BHK,apartment,₹ 2.59 Cr,Under Construction,
ASBL Loft,Financial District,1870,3 BHK,,₹ 1.73 Cr,Under Construction,"Prime Location, Gated Society"
RNG Supra Avenue,Bowrampet,1046,2 BHK,apartment,₹ 60 L,Ready To Move,Gated Society
Hallmark Sunnyside,Manchirevula,1250,2 BHK,apartment,₹ 1.1 Cr,Ready To Move,"Prime Location, Gated Society"
Aparna Newlands,Tellapur,1990,3 BHK,,₹ 1.67 Cr,Under Construction,"Affordable, Family"
Aspire Spaces Ameya,Miyapur,1495,2 BHK,,₹ 94.17 L,Ready To Move,
Goldenkey Meraki,Miyapur,1740,3 BHK,apartment,₹ 1.02 Cr,Under Construction,
Marina Skies,Hi Tech City,2340,3 BHK,,₹ 2.6 Cr,Ready To Move,"Prime Location, Gated Society, Affordable, Family"
Sukhii Sree Sumeru,Uppal,1950,3 BHK,apartment,₹ 1.33 Cr,Ready To Move,Prime Location
Urbanrise The World of Joy,Miyapur,1509,3 BHK,apartment,₹ 1.16 Cr,Under Construction,
Vian One,Kollur,1635,803 BHK,,₹ 81.75 L,Under Construction,"Prime Location, Gated Society"
Sukhii Ubuntu,Puppalaguda,1500,3 BHK,,₹ 1.27 Cr,Under Construction,"Affordable, Family"
Western Marina,Puppalaguda,5441,4 BHK,,₹ 5.98 Cr,Under Construction,"Prime Location, Safe & Secure Locality, Affordable"
My Home Tridasa,Tellapur,1840,3 BHK,apartment,₹ 1.8 Cr,Ready To Move,Family
Vasudeva Bloomfield Arcadia,Hafeezpet,1390,2 BHK,,₹ 1.18 Cr,Ready To Move,"Gated Society, Safe & Secure Locality"
Vasavi Lakecity West,Hafeezpet,1495,5 BHK,,₹ 1.18 Cr,Under Construction,"Prime Location, Gated Society"
Aurobindo Kohinoor,Serilingampally,3094,4 BHK,,₹ 4.62 Cr,Ready To Move,"Prime Location, Family"
Aurobindo Kohinoor,Serilingampally,1456,3 BHK,apartment,₹ 2.32 Cr,Ready To Move,
Urbanrise Spring Is In The Air,Ameenpur,1039,5 BHK,,₹ 57.14 L,Ready To Move,
Vasavi Lakecity East,Hafeezpet,2240,3 BHK,,₹ 1.74 Cr,Under Construction,"Prime Location, Gated Society"
Niharika Skyline,Khajaguda,2650,4 BHK,apartment,₹ 2.96 Cr,Ready To Move,"Affordable, Family"
Ramky One Odyssey,Narsingi,2575,3 BHK,apartment,₹ 3 Cr,Under Construction,Family
Sai RR Ankura,Ameenpur,1415,3 BHK,apartment,₹ 77.81 L,Ready To Move,
My Home Tridasa,Tellapur,1505,5 BHK,,₹ 1.45 Cr,Ready To Move,"Gated Society, Safe & Secure Locality, Affordable, Family"
Western Springs,Puppalaguda,3400,3 BHK,,₹ 3.06 Cr,Under Construction,"Affordable, Family"
Myscape Sanctuary,Hafeezpet,1245,2 BHK,apartment,₹ 1.31 Cr,Ready To Move,Prime Location
My Home Bhooja,Hi Tech City,4070,4 BHK,,₹ 8.75 Cr,Ready To Move,"Affordable, Family"
Prestige Beverly Hills,Kokapet,2708,4 BHK,,₹ 3.2 Cr,Under Construction,"Prime Location, Family"
Shivantha Gardenia,Isnapur,895,2 BHK,apartment,₹ 42.5 L,Under Construction,Gated Society
Hallmark Vicinia,Narsingi,1600,3 BHK,,₹ 1.76 Cr,Ready To Move,
Lansum El Dorado,Narsingi,2240,3 BHK,,₹ 1.79 Cr,Under Construction,"Affordable, Family"
Aakriti Miro,Nallagandla,1214,2 BHK,apartment,₹ 84.96 L,Under Construction,
Qualitas Nestilo,Osman Nagar,1090,2 BHK,,₹ 65.4 L,Under Construction,"Affordable, Family"
Hallmark Treasor,Narsingi,2040,3 BHK,,₹ 2.01 Cr,Under Construction,"Prime Location, Family"
Bollineni Bion,Kothaguda,2290,3 BHK,,₹ 2.92 Cr,Ready To Move,"Gated Society, Affordable, Family"
My Home Apas,Kokapet,2765,3 BHK,apartment,₹ 1.79 Cr,Under Construction,"Affordable, Family"
Vasavi Lakecity West,Hafeezpet,1495,5 BHK,,₹ 1.18 Cr,Under Construction,"Prime Location, Gated Society, Family"
Sukhii Sree Sumeru,Uppal,2000,3 BHK,apartment,₹ 1.32 Cr,Ready To Move,Prime Location
Candeur Crescent,Serilingampally,1652,3 BHK,,₹ 1.48 Cr,Under Construction,
NCC Urban Gardenia,Gachibowli,3448,4 BHK,apartment,₹ 5 Cr,Ready To Move,"Prime Location, Affordable, Family"
Prestige Beverly Hills,Kokapet,2124,3 BHK,apartment,₹ 2.35 Cr,Under Construction,
SAS Crown,Kokapet,6565,4 BHK,apartment,₹ 8.53 Cr,Under Construction,"Affordable, Family"
DSR Valar,Kokapet,3242,4 BHK,,₹ 3.24 Cr,Under Construction,"Affordable, Family"
DSR The Classe,Narsingi,3333,4 BHK,,₹ 3.42 Cr,Ready To Move,"Affordable, Family"
Aparna Synergy,Gandi Maisamma,947,3 BHK,apartment,₹ 50.18 L,Under Construction,"Affordable, Family"
Koncept Ambience The Botanika Empress,Gachibowli,2272,3 BHK,apartment,₹ 3.5 Cr,Ready To Move,"Prime Location, Safe & Secure Locality, Affordable, Family"
Bollineni Bion,Kothaguda,2290,3 BHK,apartment,₹ 3.25 Cr,Ready To Move,
Swapnas CK Meadows Yara,Serilingampally,1740,3 BHK,apartment,₹ 1.18 Cr,Ready To Move,"Prime Location, Affordable, Family"
Ambience Courtyard,Manikonda,1340,5 BHK,,₹ 1.3 Cr,Ready To Move,"Prime Location, Family"
Honer Vivantis,Gopanpally,1565,3 BHK,apartment,₹ 1.8 Cr,Ready To Move,Prime Location
My Home Tridasa,Tellapur,1830,3 BHK,,₹ 1.75 Cr,Ready To Move,"Gated Society, Safe & Secure Locality, Affordable, Family"
Canny Forest Edge,Bachupally,1285,2 BHK,apartment,₹ 85 L,Under Construction,"Gated Society, Safe & Secure Locality, Family"
Aditya Empress Towers,Shaikpet,2100,3 BHK,apartment,₹ 1.85 Cr,Ready To Move,"Safe & Secure Locality, Family"
Sri Aditya Athena,Shaikpet,1915,3 BHK,apartment,₹ 1.79 Cr,Ready To Move,"Affordable, Family"
Prestige Beverly Hills,Kokapet,2708,4 BHK,apartment,₹ 3.2 Cr,Under Construction,Family
Muppa Melody,Gachibowli,1010,2 BHK,,,Ready To Move,"Affordable, Family"
Raghuram The Vue Residences,Puppalaguda,3510,4 BHK,apartment,₹ 2.98 Cr,Under Construction,"Affordable, Family"
My Home Avali,Tellapur,3000,3 BHK,apartment,₹ 2.64 Cr,,"Prime Location, Affordable, Family"
Sumadhura The Olympus,Nanakramguda,3000,4 BHK,,₹ 3.6 Cr,Under Construction,"Prime Location, Family"
Lakshmi Cadillac,Kondapur,1303,2 BHK,,₹ 1.27 Cr,Ready To Move,"Affordable, Family"
Raghava Capital,Financial District,0999,455 BHK,,₹ 13.19 Cr,Under Construction,"Affordable, Family"
Northstar SP Palacio,Abids,1716,3 BHK,apartment,₹ 2.40 Cr,Under Construction,
Sri Sai Chaitra Nilayam,Nizampet,1200,2 BHK,apartment,₹ 58 L,Ready To Move,
Vasavi Lakecity East,Hafeezpet,2240,3 BHK,,₹ 1.74 Cr,Under Construction,"Prime Location, Gated Society, Family"
Aditya Imperial Heights,Hafeezpet,1250,2 BHK,,₹ 1.03 Cr,Ready To Move,"Prime Location, Gated Society"
Narapally,Narapally,1243,2 BHK,apartment,₹ 69.59 L,Ready To Move,Affordable
Kompally Towers,Kompally,987,2 BHK,apartment,₹ 60 L,Ready To Move,
Myscape Sanctuary,Hafeezpet,1340,2 BHK,apartment,₹ 1.31 Cr,Ready To Move,Prime Location
Lumbini Elysee,Puppalaguda,2717,3 BHK,apartment,₹ 32.84 L,Under Construction,"Affordable, Family"
Rajapushpa Provincia,Narsingi,1715,3 BHK,,₹ 1.45 Cr,Under Construction,"Affordable, Family"
MPM Shanta Sriram Pinnacle,Ameerpet,1506,3 BHK,apartment,₹ 1.43 Cr,Ready To Move,
Anvita High,Kollur,1356,92 BHK,,₹ 74.58 L,Under Construction,"Gated Society, Family"
